index,source,place,tags,rating_label,rating_google,review_label,review_count,type_category,keywords,location,formatted_address,region
1,https://www.tripadvisor.com/Attraction_Review-g608497-d1515658-Reviews-Tegalalang_Rice_Terrace-Tegalalang_Gianyar_Regency_Bali.html,Tegalalang Rice Terrace," Nature, Landmarks, UNESCO, Rice Fields",High,4.4,Exceptional,16781,"Nature POI Landmarks UNESCO, Rice Fields","Tegalalang Rice Terrace comprises a series of cascading rice fields. A UNESCO World Heritage site, the area is especially popular during sunrise and sunset. Take your time to explore the terraces, visit the nearby Bali Pulina plantation, and have a go on the mountain-edge swings. To see the fields at their greenest, visit in March, August or September. They're also green in December and February but are slippery due to the rainy season. 

The rice terrace is commonly visited on a tour of Ubud which includes other places of interest like the Monkey Forest, Tegenugan Waterfall, and Tirta Empul Temple","{'lat': -8.431711199999999, 'lng': 115.279303}","Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561, Indonesia","Tegallalang, Gianyar"
2,https://www.tripadvisor.com/Attraction_Review-g2283829-d379340-Reviews-Tanah_Lot_Temple-Beraban_Bali.html,Tanah Lot Temple," Religious, Landmarks, Hindu Pilgrimage, Photography",High,4.8,Exceptional,11140,"Religious, Landmarks, Hindu Pilgrimage, Photography","is a rock formation off the Indonesian island of Bali. It is home to the ancient Hindu pilgrimage temple Pura Tanah Lot (literally ""Tanah Lot temple""), a popular tourist and cultural icon for photography. Yes, entrance tickets cost 20,000 Rupiah for Indonesian nationals (Rp 15,000 for children), but foreigners have to pay three times the price, or Rp 60,000 (Rp 30,000 for children).","{'lat': -8.621177, 'lng': 115.086869}","Beraban, Kediri, Tabanan Regency, Bali 82121, Indonesia","Kediri, Tabanan"
3,https://www.tripadvisor.com/Attraction_Review-g1380108-d592779-Reviews-Uluwatu_Temple-Pecatu_Bukit_Peninsula_Bali.html,Uluwatu Temple," Religious, Cliffside, Hindu, Sunset",High,4.6,Exceptional,10154,"Religious, Cliffside, Hindu, Temple","The temple is regarded as one of the sad kahyangan and is dedicated to Sang Hyang Widhi Wasa in his manifestation as Rudra.. Uluwatu Temple (Pura Luhur Uluwatu) is one of six key temples believed to be Bali's spiritual pillars, is renowned for its magnificent location, perched on top of a steep cliff approximately 70 metres above sea level. This temple also shares the splendid sunset backdrops as that of Tanah Lot Temple, another important sea temple located in the island's western shores.","{'lat': -8.829143199999999, 'lng': 115.0849069}","Uluwatu, South Kuta, Badung Regency, Bali, Indonesia","Kuta, Badung"
4,https://www.tripadvisor.com/Attraction_Review-g297701-d2662551-Reviews-Campuhan_Ridge_Walk-Ubud_Gianyar_Regency_Bali.html,Campuhan Ridge Walk," Scenic Walking Areas, Nature, Sunrise, Sunset",High,4.4,Wonderful,6624,"Scenic Walking Areas, Nature, Sunrise, Sunset","Amid lush ravines and picturesque rice fields, the Campuhan Ridge Walk is one of the most popular treks in Ubud. You’ll start off the hike at the meeting point of the Wos Rivers by the historic core of this charming Bali town. Stop along the way to take in the views and recharge with some coffee overlooking the peaceful lily ponds. About three miles there and back, the trail is best enjoyed around sunrise and sunset, when temperatures are milder.  After the hike, don’t miss Ubud’s vibrant city center, where you can shop for handicrafts and visit ancient landmarks. ","{'lat': -8.5035806, 'lng': 115.2547579}","Kelusa, Payangan, Jl. Raya Campuhan, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
5,https://www.tripadvisor.com/Attraction_Review-g1025505-d1912575-Reviews-Tirta_Empul_Temple-Tampaksiring_Gianyar_Regency_Bali.html,Tirta Empul Temple," Religious, Hindu, Water Temple, Rituals",High,4.6,Exceptional,3428,"Religious, Hindu, Water Temple, Rituals","Built in the 10th-century, Tirta Empul temple is a Hindu Balinese water temple, and is considered sacred by the community. Worshippers take part in ancient cleansing rituals here and visitors are welcomed to join. Nestled in the lush Balinese countryside amid rice terraces and coffee plantations, the Vishnu-dedicated Hindu complex gets packed with devotees on full moon nights, when it takes on an even more special significance to them. You might get to watch a ceremonial dance performance too.For fewer crowds, visit early in the morning. After entering, you can rent a sarong for a small donation to wear during the ritual. Tirta Empul temple (Indonesian: Pura Tirta Empul) is a Hindu Balinese water temple located near the town of Tampaksiring, Bali, Indonesia. The temple compound consists of a petirtaan or bathing structure, famous for its holy spring water, where Balinese Hindus go to for ritual purification. The temple pond. has a spring which gives out fresh water regularly, which Balinese Hindus consider to be holy or amritha.[1] Tirta Empul means Holy Spring in Balinese.","{'lat': -8.4156589, 'lng': 115.3153284}","Tampaksiring, Gianyar Regency, Bali 80552, Indonesia","Tampaksiring, Gianyar"
6,https://www.tripadvisor.com/Attraction_Review-g608496-d1822321-Reviews-Jatiluwih_Green_Land-Tabanan_Bali.html,Jatiluwih Green Land," Farms, UNESCO, Rice Terraces, Scenic",High,4.7,Exceptional,2661,"Farms, UNESCO, Rice Terraces, Scenic","Nominated for designation as a UNESCO World Heritage site, Jatiluwih offers a beautiful view of contoured rice terraces irrigated using an impressive communal water system developed by Balinese farmers. The scenic drive through the quaint villages and verdant slopes of the central coastal regency of Tabanan adds to the experience.","{'lat': -8.37031, 'lng': 115.131372}","Village, Jl. Jatiluwih Kawan No.Desa, Jatiluwih, Kec. Penebel, Kabupaten Tabanan, Bali 82152, Indonesia","Penebel, Tabanan"
7,https://www.tripadvisor.com/Attraction_Review-g608484-d1158015-Reviews-Tirta_Gangga-Karangasem_Bali.html,Tirta Gangga," Historic, Landmarks, Royal Palace, Gardens",High,4.6,Good,3270,"History Historic POI  Landmarks, Royal Palace, Gardens, Nature springs, picknick","The former royal palace of Tirtagangga (which means water of the Ganges, Hinduism's holy river) features tiered fountains, gardens, and stone sculptures of mythical creatures spouting water into bathing pools. Just outside the palace grounds, the views of the lush rice paddies of northeastern Bali are stunning.","{'lat': -8.4123473, 'lng': 115.5872919}","HHQQ+836, Jalan Raya Abang Desa Adat Jl. Raya Tirta Gangga, Ababi, Kec. Abang, Kabupaten Karangasem, Bali 80852, Indonesia","Abang, Karangasem"
8,https://www.tripadvisor.com/Attraction_Review-g608496-d447061-Reviews-Ulun_Danu_Bratan_Temple-Tabanan_Bali.html,Ulun Danu Bratan Temple," Religious, Landmarks, Lake, Goddess",High,4.7,Exceptional,3827,Religious POI Landmarks Lake,"This lakeside temple was constructed in honor of Dewi Danu, goddess of the lake that was formed by a volcanic eruption 30,000 years ago.","{'lat': -8.2751807, 'lng': 115.1668234}","Danau Beratan, Candikuning, Baturiti, Tabanan Regency, Bali 82191, Indonesia","Baturiti, Tabanan"
9,https://www.tripadvisor.com/Attraction_Review-g469406-d3247704-Reviews-USS_Liberty_Shipwreck-Tulamben_Bali.html,USS Liberty Shipwreck," Historic, Reefs, Diving, Shipwreck",High,4.7,Exceptional,1815," History, Historic, Reefs, Diving, Shipwreck","The USS Liberty Wreck is the most famous dive site in Bali. It is also one of the best sunken ship wrecks in the world! If you come to Bali, you absolutely have to dive there The liberty ship was hit by a Japanese torpedo then was beached near Tulamben. In 1963, the eruption of Mount Agung caused the vessel to slip off the beach, and it now lies on a sand slope in 9 to 30 m of water.The wreck is about 130 m long with the shallowest part at about 5 m deep and the deepest on the other side of the wreck at about 30 m deep.","{'lat': -8.2742022, 'lng': 115.5930373}","PHGV+867, Tulamben, Kubu, Karangasem Regency, Bali 80852, Indonesia","Kubu, Karangasem"
10,https://www.tripadvisor.com/Attraction_Review-g297696-d379179-Reviews-Jimbaran_Bay-Jimbaran_South_Kuta_Bali.html,Jimbaran Bay," Beaches, Seafood, Peaceful",High,4.3,Exceptional,3037,Beach Beaches Seafood,This peaceful beach is well known for its wealth of seafood restaurants.,"{'lat': -8.7664683, 'lng': 115.1700616}","Jl. Pantai Kedonganan No.888, Kedonganan, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
11,https://www.tripadvisor.com/Attraction_Review-g608484-d2211842-Reviews-Ujung_Water_Palace-Karangasem_Bali.html,Ujung Water Palace," Historic, Landmarks, Royal Palace, Gardens",High,4.6,Exceptional,1303,"History, Historic, Landmarks, Royal Palace, Gardens","Taman Ujung ( Edge Sukasada Park ) was built in 1919. In the area , there are some buildings also large and spacious pool. There are three or entrance gate to the park area. The main gate is at a height on the west side as an entrance that is called ""Bale Ship"" because the build was once made to resemble a ship. Furthermore, this bale of our entrance into the park area with hundreds of fruits down the stairs. From this spot the entire area of the park can be enjoyed. According to the predicate as the Kingdom Water Park on the Water Place, The Park has three large pool and spacious. In the middle of the pond, they have on the extreme north of main building called "" Gili Bale "" which area connected by bridges to the south.","{'lat': -8.4630811, 'lng': 115.6306692}","Ujung Water Palace, Tumbu, Karangasem, Karangasem Regency, Bali 80811, Indonesia","Karangasem, Karangasem"
12,https://www.tripadvisor.com/Attraction_Review-g1025508-d1595129-Reviews-Taman_Ayun_Temple-Mengwi_Bali.html,Taman Ayun Temple," Religious, Royal Temple, Gardens",High,4.6,Exceptional,1704,Religious Hindu Temple Sacred Rituals,"Taman Ayun Temple is a Royal Temple of Mengwi Empire and it is located in Mengwi Village, Mengwi sub district, Badung regency and about 18 Km north side of Denpasar town. It is strategically located beside of major roadway between Denpasar to Singaraja. It is set on the land which is surrounded by the big fish pond and look like a drift on the water","{'lat': -8.5416293, 'lng': 115.1725862}","Jl. Ayodya No.10, Mengwi, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia","Mengwi, Badung"
13,https://www.tripadvisor.com/Attraction_Review-g15573114-d7691836-Reviews-Gunung_Kawi_Sebatu_Temple-Sebatu_Tegalalang_Gianyar_Regency_Bali.html,Gunung Kawi Sebatu Temple," Religious, Landmarks, Carvings, Sacred",High,4.6,Good,950,Religious Historic Hindu Temple POI Landmarks,"The whole place just looked MAGICAL, filled with burning incenses, clear water ponds, gorgeous","{'lat': -8.4046433, 'lng': 115.2934603}","Sebatu, Tegallalang, Gianyar Regency, Bali 80511, Indonesia","Tegallalang, Gianyar"
14,https://www.tripadvisor.com/Attraction_Review-g1219108-d1436488-Reviews-Garuda_Wisnu_Kencana_Cultural_Park-Ungasan_Bukit_Peninsula_Bali.html,Garuda Wisnu Kencana Cultural Park," Parks, Monument, Hindu God, Cultural",High,4.5,Exceptional,2069,Park Parks Nature,"Rising from the rugged hills of Bali’s Bukit Peninsula, the magnificent Garuda Wisnu Kencana statue stands watch over the island. The towering statue is Bali’s most iconic landmark and depicts the Hindu God Wisnu, atop his mount, the mythical eagle, Garuda. Soaring to a height of over 120 meters, this is one of the tallest monumental statues in the world, higher than both the Statue of Liberty and Christ the Redeemer. The statue makes a stunning central feature of GWK Cultural Park, a fascinating 60 hectare cultural park that draws visitors from around the globe and provides a tantalizing glimpse into Bali’s fascinating heritage through intriguing cultural performances, legendary folklore tales, immense sculptures and dramatic cinematic presentation. Enjoy panoramic island views as you explore the park on foot or by Segway. Indulge in Indonesian heritage cuisine, immerse yourself in a land steeped in mythology, or plan your next big event in one of GWK’s epic venues.","{'lat': -8.8104228, 'lng': 115.1675986}","Uluwatu St, Ungasan, South Kuta, Badung Regency, Bali 80364, Indonesia","Kuta, Badung"
